Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Medium,Random Projection,20,5,42,0.8076009501187649,0.8152442944664244,0.8002185855529826,0.8015209314056563,0.9558503475141483,0.09464570897398517
Medium,Baseline,561,5,42050,0.8819138106549033,0.8873339529122087,0.8769591916490875,0.8786834502046856,0.9711603496775213,0.15620041702641174
Medium,PCA,50,5,42,0.8876823888700374,0.8897843247294892,0.883106530716241,0.8843520151007089,0.9774973526299294,0.08950770908268169
Medium,Random Projection,50,5,42,0.8568035290125552,0.8666606971282521,0.8490945389944061,0.8507996380865911,0.965467216324619,0.06991620804183185
Medium,Baseline,561,5,42100,0.8812351543942993,0.887580542470293,0.8763810022022566,0.8780632646317214,0.9717908076702281,0.21483020897721872
Medium,PCA,100,5,42,0.8978622327790974,0.9008460064541167,0.8933548171790039,0.8947232334479933,0.9792863603907151,0.11820949998218566
Medium,Random Projection,100,5,42,0.8734306073973532,0.8826644763691694,0.8673557291425921,0.8696923551954318,0.9733349330589558,0.11087908298941329
Medium,Baseline,561,5,42200,0.8842891075670173,0.8864579750126965,0.8800395132368627,0.8812381507781852,0.9736056435576933,0.19243720802478492
Medium,PCA,200,5,42,0.9032914828639295,0.9082451420547984,0.8985610932577912,0.9001662023792759,0.9801859035763377,0.11172312602866441
Medium,Random Projection,200,5,42,0.8954869358669834,0.9018448265885827,0.8901725102074046,0.8919628713609756,0.9781510074065242,0.148441165976692
Medium,Baseline,561,5,42500,0.8727519511367492,0.876658743294383,0.8678512569504861,0.8693190345792647,0.969407518266551,0.20213779201731086
Medium,PCA,500,5,42,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799100556536308,0.2569114579819143
Medium,Random Projection,500,5,42,0.8958262639972854,0.9010519862663017,0.8907479113341702,0.8925530985606435,0.9798685760777577,0.18537512503098696
Large,Baseline,784,5,42002,0.8439,0.8462933215368249,0.8439,0.8435060677609176,0.958853827777778,5.75756304099923
Large,PCA,2,5,42,0.5058,0.50326483839864,0.5058,0.5003066161034706,0.8521153666666667,0.22899254196090624
Large,Random Projection,2,5,42,0.2773,0.2664641913267881,0.2773,0.2655043604339133,0.6845745944444445,0.12621454102918506
