Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Explained Variance,Time Taken (seconds)
Small,PCA,5,2,10,45,0.07371728248578019,0.0640261362577239,0.16506720963129742,,,0.30086681308761787,0.010058541025500745
Small,Random Projection,5,2,10,45,-0.0027634446921540514,0.0009959031246273506,0.19848823277931807,,,,0.012142958934418857
Small,Baseline,536,2,10,45010,0.30670751059318874,0.23920310120245422,0.0438877268754863,,,,0.013428542006295174
Small,PCA,10,2,10,45,0.11122341512071797,0.08777556910742097,0.09874605799491279,,,0.5249797312349264,0.00834920903434977
Small,Random Projection,10,2,10,45,0.035871328537755556,0.029852547039543178,0.14153913579479005,,,,0.02834187599364668
Small,Baseline,536,2,10,45020,0.12963157638165074,0.10038342652662843,0.052277517891854676,,,,0.016078374988865107
Small,PCA,20,2,10,45,0.09414851337733253,0.07484192167046264,0.06703140481689257,,,0.8177371489972038,0.036177208996377885
Small,Random Projection,20,2,10,45,-0.0031476663036358195,0.000301006104553258,0.12724077580675855,,,,0.007323625031858683
Small,Baseline,536,2,10,45050,-0.0016356315637095407,0.001974446886646383,0.042910914704138256,,,,0.009779000014532357
Small,PCA,50,2,10,45,0.05101014790740863,0.040567981064223546,0.04468224749853261,,,0.988350260065966,0.012375333986710757
Small,Random Projection,50,2,10,45,0.17799965776184204,0.1375525399049556,0.07410101866022989,,,,0.00764479098143056
Small,Baseline,536,2,10,45100,0.14266853840360472,0.10934337404042899,0.051788982151263735,,,,0.013130375009495765
Small,PCA,100,2,10,45,0.07833880088772036,0.0606629085005952,0.045547295581224265,,,0.9996598162301276,0.015668999985791743
Small,Random Projection,100,2,10,45,0.1706071171197762,0.13034076310531495,0.06223984109497576,,,,0.009318375028669834
Small,Baseline,536,2,10,45200,0.11713028415993187,0.089211141101674,0.047122606728450624,,,,0.014971082971896976
Small,PCA,200,2,10,45,0.07833880088772036,0.0606629085005952,0.045522661955944344,,,0.9999999664458754,0.024112667015288025
Small,Random Projection,200,2,10,45,0.306694634906685,0.23744545049710047,0.05763238522089475,,,,0.01320662599755451
Medium,Baseline,561,6,10,45002,0.4549249500915282,0.5832664512032798,0.14529277283322126,,,,0.8343395419651642
Medium,PCA,2,6,10,45,0.25686846788230766,0.4314175209200403,0.4525272447234826,,,0.6746746270487901,0.07311370800016448
Medium,Random Projection,2,6,10,45,0.10139409638150292,0.14882819104337316,0.3232267610233876,,,,0.059617874037940055
Medium,Baseline,561,6,10,45005,0.45705265636549425,0.5846829014971447,0.14665636873277021,,,,0.7514209159999155
